AccessionID,AccessionName,HasSeed,User,PopulationName,NumberOfMaternalLines,DateCollected,LocalityName,Latitude,Longitude,Altitude,Datum,Ploidy,StorageLocation,Source,ExternalID,Background,Generation,CountryOfOrigin,Notes,FirstParentID,SecondParentID,FirstParentSex,SecondParentSex
120,BdTR8m,,,,,,Turkey (various),39.09,35.19,1249,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
121,BdTR8n,,,,,,Turkey (various),38.40,35.16,1086,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
122,BdTR9a,,,,,,Turkey (various),39.75,36.82,1574,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
123,BdTR9b,,,,,,Turkey (various),39.74,28.04,363,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
124,BdTR9c,,,,,,Turkey (various),38.76,28.59,612,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
125,BdTR9e,,,,,,Turkey (various),38.09,28.58,841,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
126,BdTR9f,,,,,,Turkey (various),37.43,28.59,513,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
127,BdTR9g,,,,,,Turkey (various),39.76,29.68,1007,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
128,BdTR9h,,,,,,Turkey (various),39.09,30.25,1076,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
129,BdTR9i,,,,,,Turkey (various),38.10,30.25,1034,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
130,BdTR9j,,,,,,Turkey (various),37.13,30.23,1073,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
131,BdTR9k,,,,,,Turkey (various),39.75,30.79,932,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
132,BdTR9m,,,,,,Turkey (various),40.08,31.33,667,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
133,BdTR10a,,,,,,Turkey (various),38.43,31.31,1301,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
134,BdTR10b,,,,,,Turkey (various),38.43,32.40,1012,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
135,BdTR10c,,,,,,Turkey (various),37.78,31.88,1288,,diploid,,Iain Wilson (CSIRO PI),,,,Turkey,,,,,
