,accession_name,has_seed,population,species_id,collector_id,date_collected,has_seed,locality_name,latitude,longitude,altitude,datum,collection_trip_id,maternal_lines,ploidy,box_id,source,external_id,background,generation,country_origin,notes,lineage_id,accession_data_json
115,BdTR7b,,,6,3,27/07/2012,,Turkey (various),39.0921222222222,35.1885055555556,1249,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
116,BdTR8a,,,6,3,27/07/2012,,Turkey (various),39.75445,33.5378805555556,872,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
117,BdTR8c,,,6,3,27/07/2012,,Turkey (various),39.4128555555556,32.9881222222222,1192,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
118,BdTR8f,,,6,3,27/07/2012,,Turkey (various),37.7678555555556,33.5196055555556,1013,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,seeds from Iain Wilson empty,,
119,BdTR8i,,,6,3,27/07/2012,,Turkey (various),37.1088527777778,34.0714055555556,2385,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
120,BdTR8m,,,6,3,27/07/2012,,Turkey (various),39.0921222222222,35.1885055555556,1249,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
121,BdTR8n,,,6,3,27/07/2012,,Turkey (various),38.4046833333333,35.1595333333333,1086,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
122,BdTR9a,,,6,3,27/07/2012,,Turkey (various),39.7475916666667,36.8157916666667,1574,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
123,BdTR9b,,,6,3,27/07/2012,,Turkey (various),39.7381638888889,28.0401972222222,363,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
124,BdTR9c,,,6,3,27/07/2012,,Turkey (various),38.7641083333333,28.5851166666667,612,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
125,BdTR9e,,,6,3,27/07/2012,,Turkey (various),38.0930638888889,28.5830611111111,841,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
126,BdTR9f,,,6,3,27/07/2012,,Turkey (various),37.4272888888889,28.5852083333333,513,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
127,BdTR9g,,,6,3,27/07/2012,,Turkey (various),39.7594944444444,29.6780444444444,1007,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
128,BdTR9h,,,6,3,27/07/2012,,Turkey (various),39.0867222222222,30.2524805555556,1076,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
129,BdTR9i,,,6,3,27/07/2012,,Turkey (various),38.0998694444444,30.2455861111111,1034,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
130,BdTR9j,,,6,3,27/07/2012,,Turkey (various),37.1272388888889,30.2331166666667,1073,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
131,BdTR9k,,,6,3,27/07/2012,,Turkey (various),39.75295,30.7886305555556,932,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
132,BdTR9m,,,6,3,27/07/2012,,Turkey (various),40.0820972222222,31.3311138888889,667,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
133,BdTR10a,,,6,3,27/07/2012,,Turkey (various),38.4296611111111,31.3093638888889,1301,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
134,BdTR10b,,,6,3,27/07/2012,,Turkey (various),38.4280472222222,32.404575,1012,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
135,BdTR10c,,,6,3,27/07/2012,,Turkey (various),37.7782333333333,31.8849111111111,1288,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
136,BdTR10d,,,6,3,27/07/2012,,Turkey (various),40.3936472222222,32.9853666666667,1596,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
137,BdTR10e,,,6,3,27/07/2012,,Turkey (various),37.1173666666667,39.0304333333333,448,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
138,BdTR10f,,,6,3,27/07/2012,,Turkey (various),37.7615472222222,39.5824222222222,1156,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
139,BdTR10g,,,6,3,27/07/2012,,Turkey (various),37.4371888888889,40.1306972222222,710,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
140,BdTR10h,,,6,3,27/07/2012,,Turkey (various),38.0954166666667,40.6585666666667,688,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
141,BdTR10i,,,6,3,27/07/2012,,Turkey (various),37.4588,41.244175,975,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
142,BdTR10j,,,6,3,27/07/2012,,Turkey (various),37.7976916666667,41.7736361111111,612,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
143,BdTR10k,,,6,3,27/07/2012,,Turkey (various),38.0969277777778,42.3218861111111,1713,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
144,BdTR10m,,,6,3,27/07/2012,,Turkey (various),41.4216277777778,27.4768916666667,124,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
145,BdTR10n,,,6,3,27/07/2012,,Turkey (various),41.0853194444444,26.9314694444444,141,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
146,BdTR10o,,,6,3,27/07/2012,,Turkey (various),39.7381638888889,28.0401972222222,363,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
147,BdTR11a,,,6,3,27/07/2012,,Turkey (various),38.4167833333333,28.0313194444444,986,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
148,BdTR11b,,,6,3,27/07/2012,,Turkey (various),41.4216277777778,27.4768916666667,124,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
149,BdTR11c,,,6,3,27/07/2012,,Turkey (various),41.0853194444444,26.9314694444444,141,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
150,BdTR11d,,,6,3,27/07/2012,,Turkey (various),37.4588,41.244175,975,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
151,BdTR11e,,,6,3,27/07/2012,,Turkey (various),37.7976916666667,41.7736361111111,612,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
152,BdTR11f,,,6,3,27/07/2012,,Turkey (various),38.0969277777778,42.3218861111111,1713,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
153,BdTR11g,,,6,3,27/07/2012,,Turkey (various),41.4216277777778,27.4768916666667,124,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
154,BdTR11h,,,6,3,27/07/2012,,Turkey (various),41.0853194444444,26.9314694444444,141,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
155,BdTR11i,,,6,3,27/07/2012,,Turkey (various),39.7381638888889,28.0401972222222,363,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
156,BdTR12a,,,6,3,27/07/2012,,Turkey (various),36.7830333333333,32.962975,1957,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
157,BdTR12b,,,6,3,27/07/2012,,Turkey (various),40.4055305555556,34.6361388888889,1088,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
158,BdTR12c,,,6,3,27/07/2012,,Turkey (various),39.7481805555556,34.6503194444444,1035,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
159,BdTR13a,,,6,3,27/07/2012,,Turkey (various),39.7564861111111,32.43235,787,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
160,BdTR13b,,,6,3,27/07/2012,,Turkey (various),39.75445,33.5378805555556,872,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
161,BdTR13c,,,6,3,27/07/2012,,Turkey (various),39.4128555555556,32.9881222222222,1192,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
162,BdTR13d,,,6,3,27/07/2012,,Turkey (various),37.7678555555556,33.5196055555556,1013,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
163,BdTR13e,,,6,3,27/07/2012,,Turkey (various),37.1088527777778,34.0714055555556,2385,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
164,BdTR13f,,,6,3,27/07/2012,,Turkey (various),39.0921222222222,35.1885055555556,1249,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
165,BdTR13g,,,6,3,27/07/2012,,Turkey (various),38.4046833333333,35.1595333333333,1086,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
166,BdTR13h,,,6,3,27/07/2012,,Turkey (various),37.4588,41.244175,975,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
167,BdTR13i,,,6,3,27/07/2012,,Turkey (various),37.7976916666667,41.7736361111111,612,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
168,BdTR13j,,,6,3,27/07/2012,,Turkey (various),38.0969277777778,42.3218861111111,1713,,,,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
